Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
18,16,24,3,28.75,24.75,33.0,2.0,14.0,12.0,17.0,10.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.1375,0.18333333333333332,0.011111111111111112,0.49166666666666664,70,10,10,10,10,4,2,4,0,10,120,16
4,24,3,5,5.5,38.0,2.0,10.5,10.0,21.0,10.0,10.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.2111111111111111,0.011111111111111112,0.058333333333333334,0.3111111111111111,65,10,10,10,10,4,2,4,0,10,120,16
1,7,30,42,0.33,11.0,33.5,56.5,10.0,10.0,19.0,31.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.06111111111111111,0.18611111111111112,0.3138888888888889,0.5629444444444445,85,10,10,10,10,4,2,4,0,10,120,16
26,9,21,25,41.5,12.5,28.0,36.0,25.0,10.0,17.0,22.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.06944444444444445,0.15555555555555556,0.2,0.6555555555555557,90,10,10,10,10,4,2,4,0,10,120,16
5,17,1,37,10.5,30.5,1.0,50.33,10.0,15.0,10.0,25.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.16944444444444445,0.005555555555555556,0.2796111111111111,0.5129444444444444,75,10,10,10,10,4,2,4,0,10,120,16
9,37,37,14,12.5,53.25,50.33,22.25,10.0,40.0,37.0,17.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.29583333333333334,0.2796111111111111,0.12361111111111112,0.7685,120,10,10,10,10,4,2,4,0,10,120,16
27,29,16,5,31.83,41.25,23.0,10.5,18.0,23.0,13.0,10.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.22916666666666666,0.12777777777777777,0.058333333333333334,0.592111111111111,80,10,10,10,10,4,2,4,0,10,120,16
26,3,5,42,41.5,2.0,10.5,56.5,25.0,10.0,10.0,34.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.011111111111111112,0.058333333333333334,0.3138888888888889,0.6138888888888889,95,10,10,10,10,4,2,4,0,10,120,16
34,42,18,27,45.75,65.0,28.75,42.33,26.0,37.0,16.0,24.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.3611111111111111,0.1597222222222222,0.23516666666666666,1.0101666666666667,120,10,10,10,10,4,2,4,0,10,120,16
4,0,26,16,5.5,0.0,29.41,24.75,10.0,10.0,16.0,13.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.0,0.1633888888888889,0.1375,0.33144444444444443,65,10,10,10,10,4,2,4,0,10,120,16
